CLASS_TYPE	Genus	ID	Marker1	Marker2	Marker3	Marker4	NT	label	layer
CLASS_TYPE	C %	ID	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C 'capable of' some %	A rdfs:label	C 'has soma location' some %
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_26	HGNC:18232				GO:0061534	cl26_i80_BSPRY_Vip.Chat_L4.0	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_27	HGNC:7912				GO:0061534	cl27_i79_NPM1P10_Sst.Tacstd2_L5.4	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_68	HGNC:1246				GO:0061535	cl68_e160_C1R_L5a.Deptor_Pacsin2_L5.0	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_24	HGNC:8824				GO:0061534	cl24_i55_SERPINF1_Vip.Mybpc1_L3.6	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_69	HGNC:2338				GO:0061535	cl69_e147_CRABP1_L2.Ngb_L5.3	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_25	HGNC:5154				GO:0061534	cl25_i60_HPGD_Sst.Tacstd2_L4.9	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_28	HGNC:1996				GO:0061534	cl28_i52_CKMT2_Pvalb.Wt1_L5.4	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_29	HGNC:1958				GO:0061534	cl29_i52_CHRNA4_Ndnf.Cxcl14_L1.1	UBERON:0005390
subclass		http://www.jcvi.org/cl_ext/mtg_cluster#pcl_51						cl51_o14_USP1_Ndnf.Cxcl14_L1.7	UBERON:0005391
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_52	HGNC:6721				GO:0061535	cl52_e812_LTK_L5b.Cdh13_L2.0	UBERON:0005391
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_50	HGNC:7955				GO:0061534	cl50_i15_NPY_Sst.Chodl_L5.0	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_11	HGNC:13841				GO:0061534	cl11_i132_ADGRG6_Sst.Cbln4_L3.6	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_55	HGNC:25172				GO:0061535	cl55_e2284_FREM3_L5b.Cdh13_L2.8	UBERON:0005392
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_12	HGNC:37453				GO:0061534	cl12_i108_NPIPB11_Ndnf.Cxcl14_L1.5	UBERON:0005390
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_56	HGNC:12004				GO:0061535	cl56_e1428_TPBG_L4.Sparcl1_L4.1	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_53	HGNC:4325				GO:0061535	cl53_e170_GLP2R_L5b.Cdh13_L3.0	UBERON:0005392
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_10	HGNC:1434				GO:0061534	cl10_i279_CALB1_Sst.Cbln4_L2.4	UBERON:0005391
subclass		http://www.jcvi.org/cl_ext/mtg_cluster#pcl_54						cl54_o30_CYP39A1_L5a.Deptor_Pacsin2_L4.4	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_15	HGNC:7859				GO:0061534	cl15_i93_NMU_Sst.Tacstd2_L4.3	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_16	HGNC:25573				GO:0061534	cl16_i63_KLHDC8A_Sst.Tacstd2_L5.2	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_57	HGNC:23729				GO:0061535	cl57_e777_MKX_L5a.Deptor_Pacsin2_L4.6	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_13	HGNC:6932				GO:0061534	cl13_i107_MC4R_Ndnf.Cxcl14_L1.4	UBERON:0005390
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_14	HGNC:4609				GO:0061534	cl14_i90_GRPR_Ndnf.Cxcl14_L1.4	UBERON:0005390
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_58	HGNC:13636				GO:0061535	cl58_e870_FOLH1B_L5a.Deptor_Pacsin2_L4.5	UBERON:0005393
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_19	HGNC:4248				GO:0061534	cl19_i68_GGH_Vip.Chat_L2.5	UBERON:0005391
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_17	HGNC:25233				GO:0061534	cl17_i182_NIPAL3_Sst.Tacstd2_L4.8	UBERON:0005394
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_18	HGNC:27273				GO:0061534	cl18_i72_ZCCHC12_Vip.Mybpc1_L2.7	UBERON:0005392
subclass	http://purl.obolibrary.org/obo/CL_0000129	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_84	HGNC:13176					cl84_g63_IKZF1_Micro.Ctss_L3.2	UBERON:0005392
subclass	CL:0000540	http://www.jcvi.org/cl_ext/mtg_cluster#pcl_40	HGNC:11782				GO:0061534	cl40_i27_TH_Sst.Tacstd2_L5.3	UBERON:0005394
